ticker,direction,pnl,equity
AAPL,Long,-100.0,9900.0
PFE,Short,-99.0,9801.0
PFE,Short,-98.01,9702.99
AAPL,Long,-97.03,9605.96
PFE,Short,-96.06,9509.9
PFE,Short,-95.1,9414.8
AAPL,Long,-94.15,9320.65
PFE,Short,-93.21,9227.45
PFE,Short,-92.27,9135.17
AAPL,Long,-91.35,9043.82
PFE,Short,-90.44,8953.38
PFE,Short,-89.53,8863.85
AAPL,Long,-88.64,8775.21
PFE,Short,-87.75,8687.46
PFE,Short,-86.87,8600.58
AAPL,Long,-86.01,8514.58
PFE,Short,-85.15,8429.43
PFE,Short,-84.29,8345.14
AAPL,Long,-83.45,8261.69
PFE,Short,-82.62,8179.07
PFE,Short,-81.79,8097.28
AAPL,Long,-80.97,8016.31
PFE,Short,-80.16,7936.14
AAPL,Long,-79.36,7856.78
PFE,Short,-78.57,7778.21
PFE,Short,-77.78,7700.43
AAPL,Long,-77.0,7623.43
PFE,Short,-76.23,7547.19
